Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,22.5
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,30.5
Symptoms of Anxiety Disorder,By State,Texas,Texas,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.2
Symptoms of Anxiety Disorder,By State,Utah,Utah,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.9
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,31.1
Symptoms of Anxiety Disorder,By State,Washington,Washington,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,34.6
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.4
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,28.4
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,29.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,49.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,43
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,39
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,30.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,23.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,19.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,32.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,44.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,37.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,30.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,44.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,37.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,31.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,42.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,37.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,28
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,46.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,34.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,39.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,44.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,38.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,30.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,38
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,38.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,30.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,42.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,32.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,38.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,43.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,32.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,27.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,34.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,47.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,38.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,27.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,35.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,39.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,38.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,36.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,39.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,39.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,30.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2,15,"Sep 16 - Sep 28, 2020",16-09-2020,28-09-2020,33.2
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,39.3
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,28.4
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,26.4
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.6
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,15
Symptoms of Depressive Disorder,By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,10.8
Symptoms of Depressive Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.5
Symptoms of Depressive Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,27.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,31.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.3
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,29.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,33.6
Symptoms of Depressive Disorder,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25
Symptoms of Depressive Disorder,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,27.1
Symptoms of Depressive Disorder,By State,Arizona,Arizona,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,30.2
Symptoms of Depressive Disorder,By State,California,California,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,29.4
Symptoms of Depressive Disorder,By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.8
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.9
Symptoms of Depressive Disorder,By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.6
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19.9
Symptoms of Depressive Disorder,By State,Florida,Florida,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,26
Symptoms of Depressive Disorder,By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.9
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,30.1
Symptoms of Depressive Disorder,By State,Idaho,Idaho,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,21
Symptoms of Depressive Disorder,By State,Illinois,Illinois,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.1
Symptoms of Depressive Disorder,By State,Indiana,Indiana,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.1
Symptoms of Depressive Disorder,By State,Iowa,Iowa,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19.6
Symptoms of Depressive Disorder,By State,Kansas,Kansas,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.7
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,31.5
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,28.4
Symptoms of Depressive Disorder,By State,Maine,Maine,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.4
Symptoms of Depressive Disorder,By State,Maryland,Maryland,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.4
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.5
Symptoms of Depressive Disorder,By State,Michigan,Michigan,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.6
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19.9
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.1
Symptoms of Depressive Disorder,By State,Missouri,Missouri,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.5
Symptoms of Depressive Disorder,By State,Montana,Montana,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19.9
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,20.9
Symptoms of Depressive Disorder,By State,Nevada,Nevada,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,29.2
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19.8
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.5
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,26.1
Symptoms of Depressive Disorder,By State,New York,New York,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.3
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.7
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,16.6
Symptoms of Depressive Disorder,By State,Ohio,Ohio,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.5
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,27.2
Symptoms of Depressive Disorder,By State,Oregon,Oregon,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.9
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.1
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.4
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,20.3
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,19
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.5
Symptoms of Depressive Disorder,By State,Texas,Texas,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,29
Symptoms of Depressive Disorder,By State,Utah,Utah,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.5
Symptoms of Depressive Disorder,By State,Vermont,Vermont,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,30.1
Symptoms of Depressive Disorder,By State,Virginia,Virginia,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,23.1
Symptoms of Depressive Disorder,By State,Washington,Washington,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,25.2
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,27.5
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,21.6
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,22.2
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,44.7
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,38.1
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,35.3
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,31.1
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.8
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,18
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,15
Symptoms of Anxiety Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,28.1
Symptoms of Anxiety Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,36.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,36.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,31.6
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,32.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,24.8
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,39.7
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,29.4
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,32.6
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,31.7
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,35.4
Symptoms of Anxiety Disorder,By State,California,California,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,36.2
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,32.8
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,28.4
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,32.8
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",30-09-2020,12-10-2020,34.8
